global_step,return_value,intrinsic_reward
6590704,28.0,0.05214096
6602816,51.0,0.1237126
6614416,53.0,0.081855044
6625384,15.0,0.060837183
6637624,16.0,0.07601571
6648880,23.0,0.09471692
6659280,22.0,0.106332466
6669928,15.0,0.16758367
6680600,38.0,0.07989019
6690648,31.0,0.062695906
6702224,53.0,0.103323266
6712264,26.0,0.1625694
6723224,42.0,0.079837
6733640,21.0,0.2147477
6743920,46.0,0.20529637
6758280,21.0,0.158436
6768808,47.0,0.050701417
6778888,10.0,0.19625947
6789208,28.0,0.092260174
6799392,8.0,0.1049302
6809416,7.0,0.067625836
6819496,24.0,0.048704207
6832568,38.0,0.053973477
6842576,40.0,0.06869634
6852864,27.0,0.18950318
6863608,50.0,0.10666252
6873984,30.0,0.10788824
6887408,18.0,0.11070647
6898144,21.0,0.059586424
6908480,42.0,0.09118915
6918648,19.0,0.12547654
6929792,34.0,0.10921752
6940152,22.0,0.15156169
6951232,8.0,0.052308835
6963208,39.0,0.11999461
6973424,37.0,0.038659982
6984872,14.0,0.032781042
6995000,34.0,0.11050455
7005640,22.0,0.11516306
7016232,17.0,0.065104924
7026736,41.0,0.08614041
7037584,27.0,0.061884806
7048648,41.0,0.09396063
7059424,50.0,0.073082015
7069640,18.0,0.07610439
7079928,7.0,0.072309226
7090264,36.0,0.054579526
7101152,32.0,0.12721343
7111328,38.0,0.15396567
7122480,31.0,0.03688824
7132520,20.0,0.09754243
7142744,33.0,0.04544394
7153192,28.0,0.15920714
7163688,49.0,0.0938251
7174920,54.0,0.101326704
7186096,38.0,0.07615605
7196512,20.0,0.055981826
7208280,34.0,0.1322434
7218360,35.0,0.14246297
7230304,14.0,0.14244676
7241560,12.0,0.06794007
7252768,16.0,0.11103673
7262920,15.0,0.07288322
7273088,47.0,0.057421524
7283632,15.0,0.1526055
7293688,34.0,0.09716155
7305392,11.0,0.17193764
7315968,37.0,0.19371074
7326088,31.0,0.049707487
7336632,24.0,0.118432246
7346848,12.0,0.14034486
7356936,48.0,0.031878095
7367232,26.0,0.15504423
7377824,43.0,0.16906643
7388376,32.0,0.08263557
7401528,16.0,0.15271336
7412232,37.0,0.08249764
7424056,30.0,0.112083666
7434480,14.0,0.057700958
7445528,25.0,0.115323395
7455792,9.0,0.096764594
7467064,15.0,0.046006937
7477240,34.0,0.07979386
7489728,27.0,0.1026497
7500560,11.0,0.09939005
7512024,31.0,0.041755173
7523000,30.0,0.1873377
7533800,46.0,0.051848017
7544128,26.0,0.07891751
7554304,36.0,0.10299271
7567728,42.0,0.06490718
7579016,25.0,0.09478531
